MRK	1	1	परमात्में दे पुत्तर यीशु मसीह दे सुसमाचारे दी सुरुआत |	
MRK	1	2	जिआं यशायाह भविष्यवक्ता दी कताबा च लिख्या ऐ “दिख मैं अपणे दूते जो तिज्जो अल्ल घल्लदा, जेह्ड़ा तिज्जो तांई रस्ता त्यार करगा |	
MRK	1	3	बणे च इक्क हक्कां पाणे आळे दी उआज सुम्मां दी कि प्रभु दा रस्ता त्यार करा, कन्ने उदियां सड़कां सीधियां करा |”     
MRK	1	4	यूहन्ना जेह्ड़ा बणे च [बपतिस्मा दिंदा था, कन्ने पापां जो माफ करणे तांई मने] जो बदलणे दे बपतिस्मे दा प्रचार करदा था, आया |	
MRK	1	5	सारे यहूदिया प्रदेश दे, कन्ने यरूशलेम p सैहरे दे सारे रैहणे आळे निकळी नैं तिस अल्ल गै, कन्ने अपणे पापां जो मन्नी नैं यरदन दरैयाए च तिसते बपतिस्मा लैया |	
MRK	1	6	यहून्ना ऊंटे दे बाळां दा कपड़ा पैहणदा कन्ने अपणे लक्के च चमड़े दा पटका बन्नी रखदा था | कन्ने सैह टिड्डियां कन्ने बणे दा मखीर खांदा था |	  
MRK	1	7	कन्ने एह प्रचार करदा था, “मिन्जो ते बाच सैह ओणे आळा ऐ, सैह मिन्जो ते बी ताकतवर ऐ; मैं इस जोग्गा नी कि झुकी नैं तिसदे जूत्तेयां दियां गट्ठां जो खोली सकें |	
MRK	1	8	मैं तां तुहां जो पाणी ते बपतिस्मा दित्ता ऐ अपर सैह तुहां जो पवित्र आत्मां ते बपतिस्मा दिंगा | 
MRK	1	9	तिन्हां दिना च यीशुयें गलील दे नासरत pते pआई pनैं, यरदन दरैयाए च यूहन्ने ते बपतिस्मा लैया |   
MRK	1	10	कन्ने जाह्लू सैह पाणिये ते निकळी नैं बाहर आया तां ताह्लू p तिन्हीं अम्बरे जो खुलदे कन्ने आत्मां जो कबूतरे रुप्पे च अपणे उपर लौंदे दिख्या |	
MRK	1	11	कन्ने एह आकाशवाणी होई, “तू मेरा प्यारा पुत्तर ऐ, तिज्जो ते मैं खुश ऐ |”    
MRK	1	12	ताह्लू ई आत्मां तिसजो बणे दे पास्सेयो घल्लया |  
MRK	1	13	बणे च चाली दिन तिकर सैताने यीशु दी परख लैई; कन्ने सैह बणे दे डंगरां सौगी रैह्या, स्वर्गदूत आई नैं तिसदी सेवा करदे रैह्य |	
MRK	1	14	यूहन्ना दे पकड़ुआये जाणे दे बाच यीशुयें गलील सैहरे च आई नैं परमात्में दे राज्जे दा सुसमाचार प्रचार कित्ता |  
MRK	1	15	कन्ने ग्लाया, “बग्त पूरा होईया, कन्ने परमात्में दा राज नेड़ै आईया ऐ; मने जो बदला कन्ने सुसमाचार पर वसुआस करा |”	यूहन्ना दे पकड़ुआये
MRK	1	16	गलील दिया झीला कंडे जांदे होये | तिन्हीं शमौने कन्ने तिसदे भाऊ अन्द्रियासे जो झीला च जाल पांदे दिख्या; क्जोकि सैह मच्छियां पकड़णे आळे थे |	
MRK	1	17	यीशुयें तिन्हां जो ग्लाया, “मिन्जो पचां ओआ; मैं तुहां जो माणुआं जो पकड़णे आळा बणागां |” 
MRK	1	18	सैह ताह्लू ई जाळां जो छड्डी नैं तिसदे पचां चली पै | 
MRK	1	19	थोड़ी गां जाई नैं, तिन्हीं जबदिये दे पुत्तर याकूबे, कन्ने तिसदे भाऊये यूहन्ने जो, किस्तिया पर जाळां जो ठीक करदे दिख्या |	
MRK	1	20	तिन्हीं चट पट तिन्हां जो सदेया; कन्ने सैह अपणे पिता जबदिये जो मजदूरां दे सौगी किस्तिया पर छड्डी नैं तिसदे पचां चली पै |	
MRK	1	21	ताह्लू सैह कफरनहूम च आये, कन्ने सैह ताह्लू ई सब्त दे दिनें आराधनालय च जाई नैं शिक्षा दैणा लग्गा |	 
MRK	1	22	कन्ने लोक तिसदे शिक्षा ते हैराण होये; क्जोकि सैह तिन्हां शास्त्रियां साइयां नी, अपर सैह अधिकारिये साइयां शिक्षा दिंदा था |	
MRK	1	23	तिस बग्त, तिन्हां दे आराधनालय च इक्क माणु था, जिस च इक्क बुरी आत्मां थी |	 
MRK	1	24	तिन्हीं जोरे नै ग्लाया, हे यीशु नासरी, अहां जो तिज्जो नैं क्या कम्म? क्या तू अहां जो खत्म करणा आया? मैं तिज्जो जाणदा, तू कुण ऐ? तू परमात्में दा पवित्र माणु ऐ |”	
MRK	1	25	यीशुयें बुरी आत्मां जो झिड़की नैं ग्लाया, “चुप रैह्य; कन्ने इसते निकळी जा |”  
MRK	1	26	ताह्लू बुरी आत्मां तिसियो मरोड़ी नैं, कन्ने बडिया उआजा च डडी नैं तिसदे अंदरे ते निकळी गैई |	
MRK	1	27	इस पर सारे लोक हैराण होई नैं, अप्पु च सुआल जबाब करणा लग्गे, एह क्या गल्ल ऐ? एह तां कोई नौआ शिक्षा ऐ! सैह हक्के नैं बुरियां आत्मां जो बी हुक्म दिंदा ऐ, कन्ने सैह तिसदा हुक्म मनदियां हन्न |”	
MRK	1	28	कन्ने तिसदा नां ताह्लू ई गलील दे आस्से पास्से दे सारे प्रदेशे च फैली गैया |    
MRK	1	29	सैह ताह्लू ई आराधनालय ते निकळी नैं याकूब कन्ने यूहन्ने दे सौगी शमौन कन्ने अन्द्रियासे दे घरे जो आया |	
MRK	1	30	शमौने दी सस्सु जो बुखार चढ़या था, कन्ने तिन्हां ताह्लू तिसादे बारे च तिसियो दस्सेया |	 
MRK	1	31	ताह्लू तिन्हीं बक्खे जाई नैं तिसादा हत्थ पकड़ी नैं तिसायो ठुआळेया; कन्ने तिसादा बुखार उतरिया, कन्ने सैह तिन्हां दी सेवा करणा लग्गी |	
MRK	1	32	संजा दे बग्त जाह्लू सूरज घरुईया तां लोक सारे बमारां जो कन्ने तिन्हां जो, जिन्हां च बुरियां आत्मां थियां, तिस अल्ल लैई आये |   
MRK	1	33	कन्ने सारा सैहर दुरआजे पर कठरोइया |	
MRK	1	34	तिन्हां मत्तेयां जो जेह्ड़े कई तरांह दियां बमारियां ते दुखी थे, ठीक कित्ता, मतियां बुरियां आत्मां जो कड्डेया, कन्ने बुरियां आत्मां जो ग्लाणा नी दित्ता, क्जोकि सैह तिसियो पणछैणदियां थियां |	
MRK	1	35	भ्यागा दिन निकलणे ते बड़ी पैहले सैह उठी नैं निकळेया, कन्ने इक्की बणे जो गैया तित्थू प्रार्थना करणा लग्गा | 
MRK	1	36	ताह्लू शमौन कन्ने तिसदे साथी तिसियो तोपणा गै |   
MRK	1	37	जाह्लू सैह मिलेया, तां तिस जो ग्लाया, सारे लोक तिज्जो तोपदे हन्न |”	
MRK	1	38	तिन्हीं तिन्हां जो ग्लाया, “ओआ; अहां होर कुत्की अक्खे बक्खे दी बस्तियां च जाई नैं, तां जे तित्थू बी प्रचार करें, क्जोकि मैं इस तांई निकळेया |”	
MRK	1	39	सैह सारे गलीले च तिन्हां दे आरधनालयां च जाई नैं प्रचार करदा कन्ने बुरियां आत्मां जो कड्डदा रैह्या |      
MRK	1	40	इक्क कोढ़ी तिस अल्ल आया, तिस नैं विणती कित्ती, तिन्हीं तिसदे गां गोडे टेकी नैं तिस जो ग्लाया, जे तू चाहंदा तां मिन्जो ठीक करी सकदा |”	
MRK	1	41	तिन्हीं तिस पर तरस खाई नैं तिस पर हत्थ रखया, छूई नैं तिसियो ग्लाया, मैं चाहंदा कि तू ठीक होई जां |”	 
MRK	1	42	कन्ने ताह्लू ई तिसदा कोढ़ जांदा रैह्या, कन्ने सैह ठीक होईया |  
MRK	1	43	ताह्लू तिन्हीं तिसियो समझाई नैं ताह्लू ई घल्ली दित्ता,	 
MRK	1	44	कन्ने तिसियो ग्लाया, “दिख कुसी नैं कुच्छ मत ग्लांदा, अपर जाई नैं अप्पु जो याजके जो दस्स, कन्ने अपणे ठीक होणे दे बारे च जेह्ड़ा कुच्छ मूसें दस्सेया ऐ तिसियो भेंट चढ़ा तां जे तिन्हां पर गवाही होयें |”	
MRK	1	45	अपर सैह बाहर जाई नैं तिसा गल्ला जो बड़ा दसणां कन्ने ऐत्थू तिकर फैलाणा लग्गा कि यीशु भिरी सरेआम सैहरे च नी जाई सकेया, अपर बाहर बणे च रैह्या कन्ने चौन्नी पास्से दे लोक तिस अल्ल ओंदे रैह्य |	
MRK	2	1	कईयां दिना बाद सैह भिरी कफरनहूम सैहरे च आया, कन्ने सुणने च आया कि सैह घरें ई ऐ |   
MRK	2	2	भिरी इतणे लोक किट्ठे होये कि दुरआजे अल्ल बी जगाह नी थी; कन्ने सैह तिन्हां जो वचन सुणा दा था |	
MRK	2	3	कन्ने लोक इक्क धरंगे दे रोगिये जो चौं माणुआं ते चुकवाई नैं तिस अल्ल लैई आये |  
MRK	2	4	अपर जाह्लू सैह भीड़ा दिया बजाह ते तिसदे बक्खे नी पुज्जी सके, तां तिन्हां तिसा छती जो जिसा थलै सैह था, खोली दित्ता; कन्ने जाह्लू सैह छती जो कुआई बैठे, तां तिस मंजोलूये जो जिस पर धरंगे दा रोगी पैया था, छती ते लटकाई दित्ता |	
MRK	2	5	यीशुयें तिन्हां दा बसुआस दिखी नैं धरंगे दे रोगिये जो ग्लाया, “हे पुत्तर तेरे पाप माफ होये |”   
MRK	2	6	ताह्लू कई शास्त्री जेह्ड़े तित्थू बैठेयो थे, अपणे अपणे मने च सोचणा लग्गे |   
